Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
Cibele Vany da Silva;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;6000,00;3597,78
Cibele Vany da Silva;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;10000,00;9631,65
Cibele Vany da Silva;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;10000,00;6951,19
Cibele Vany da Silva;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;8000,00;6335,00
Cirurgica Spedo Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903031 - Material Médico, Hospitalar e Odontológico;341,00;341,00
Citrolife Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;5007,78;5006,38
Citrorio São José do Rio Preto Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;54370,80;17881,51
Clayton Chinaglia;5304 - Ensino de Graduação nas Universidades Estaduais;33903979 - Conservação e Manutenção de Imóveis;7500,00;7500,00
Cleusa A. Moro Máquinas Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;2557,00;2557,00
Cleusa A. Moro Máquinas Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;359,50;359,50
Cleusa Maria Venceslau;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;30000,00;19906,47
Cleusa Marques Malheiros da Silva - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;2397,00;2397,00
Colipel Comércio de Mat. de Limpeza Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903015 - Artigos de Higiene Pessoal;794,45;794,45
COLUMBIA COMÉRCIO DE DESCARTÁVEIS LTDA.;5304 - Ensino de Graduação nas Universidades Estaduais;33903015 - Artigos de Higiene Pessoal;5052,00;5052,00
Comercial Cegantin Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;2584,00;2584,00
Comercial Cegantin Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1250,00;1250,00
Comercial Gami Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;330,87;330,87
Comercial João Afonso Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;177100,40;112705,90
Comercial Massoneto Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903052 - Material para Conservação e Manutenção de Imóveis;298,80;298,80
Companhia Ultragaz S.a.;5304 - Ensino de Graduação nas Universidades Estaduais;33903024 - Outros Combustíveis e Lubrificantes;364548,00;194558,65
Confruty Alimentos Ltda-epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;1630375,00;792058,10
Constel Construtora e Pavimentação Eireli - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;44905130 - Execução de Obras e Instalações;67590,72;0,00
Controle Operacional de Pragas Ambiental Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903936 - Dedetização, Desinsetização e Desratização;11700,92;9728,29
Copolfood Comércio de Produtos Alimentícios Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;40010,00;32597,25
Cozileste Comercio e Manutenção de Cozinhas Ltda Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2232,00;2232,00
Cozileste Comercio e Manutenção de Cozinhas Ltda Me.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;8550,00;8550,00
Cozileste Comercio e Manutenção de Cozinhas Ltda Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;13978,00;13978,00
D. C. L. da Silva Com. de Embalagens Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;94909,80;71461,81
Daniel Delgado Riposati - Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;233400,37;218102,16
Dayhome Comercial Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;7167,99;7167,99
Debian Signal Comunicação Multimídia Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903050 - Peças de Reposição e Acessórios;1750,00;1737,75
Debian Signal Comunicação Multimídia Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;3530,00;3505,29
Della Torre & Della Torre Comercio de Cereais Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;7540,00;7540,00
Dentomed Produtos Hospitalares Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;1694,00;1694,00
Descarte - Comércio de Mercadorias em Geral e Descartáveis Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;723,00;723,00
Dias & Reis Alimentos Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;5251,30;5251,30
Dias & Reis Alimentos Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;14,00;14,00
Dimar Com. e Manut.de Equip. Ar Cond Ltda - Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;1539,00;1539,00
Dimar Com. e Manut.de Equip. Ar Cond Ltda - Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;1388,00;1388,00
Dimar Com. e Manut.de Equip. Ar Cond Ltda - Me.;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1608,00;1608,00
Distribuidora Nancy Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;769098,10;590437,16
Eagles Star Produtos de Higiene Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903015 - Artigos de Higiene Pessoal;55,00;55,00
Eagles Star Produtos de Higiene Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;3368,00;3368,00
Ecolab Química Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903014 - Material de Limpeza;4998,00;4998,00
Ecolab Química Ltda.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903031 - Material Médico, Hospitalar e Odontológico;950,40;950,40
Ecolab Química Ltda.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903032 - Material de Uso Laboratorial;1270,50;1270,50
Ecolab Química Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;15261,75;15261,75
Ecomaster Quimica Ind. e Com. Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;113660,00;52636,40
Eletro Nahas Comércio de Materiais Elétricos Ltda. - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;258,00;258,00
Elevadores Zenit Eireli;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;3508,76;3193,48
Emerson Roger Rivera da Luz - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;355,00;355,00
Emilio de Francesco;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;15000,00;13723,14
Emilio de Francesco;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903999 - Outros Serviços de Terceiros;8000,00;6610,00
Emporio da Villa, Panificadora, Confeitaria e Mercearia Ribeirão Preto Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;89090,00;46650,30
Empreitec Construções e Manutenções Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;6565,13;6012,28
Engefood - Equipamentos e Representações LTDA;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;23980,64;23980,64
Engefood - Equipamentos e Representações Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;4473,92;4473,92
Engefood - Equipamentos e Representações Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;20006,40;13618,19
Engefood - Equipamentos e Representações Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;120790,00;120790,00
Extinil Equipamentos Contra Incêndio Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;92340,61;78600,92
F & M Refeições Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;796537,50;689062,50
Fabio Sancinetti Viscaino - Me;5304 - Ensino de Graduação nas Universidades Estaduais;44905130 - Execução de Obras e Instalações;3785,00;3785,00
Facility Comercio de Descartaveis, Embalagens e Servios de Pronta Entrega Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903040 - Material Educativo e Cultural;8096,00;8096,00
Fênix Ind. Com. Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;589800,00;589252,20
Flavor Tec Aromas de Frutas Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;200578,40;146956,80
G & A Construção Civil Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903981 - Reformas de Imóveis;12408,11;12408,11
G. M. Doctor Com. e Assist. Téc. de Audiovisuais Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;600,00;600,00
Gasball Armazenadora e Distribuidora Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903024 - Outros Combustíveis e Lubrificantes;332718,00;214097,03
Gasodiesel Produtos de Petróleo Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903022 - Diesel Automotivo;83100,00;77560,00
Greville Containers Comercio,locação,agenciamento,importação,exportação,assessoria e Reparos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903919 - Locação de Máquinas e Equipamentos Diversos;22280,06;19587,96
Guaru Pão Indústria e Comércio Ltda - E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;411910,00;303889,56
Healthy Alimentos Pré Processados Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;770000,00;442711,46
Henrique Duarte Macari;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;10000,00;10000,00
Herograf Indústria Gráfica Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903983 - Serviços Gráficos;1039,50;1029,10
Higipres Comércio e Serviços Ltda. - M E;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1559,00;1559,00
Imuniben Saneamento Ambiental Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903936 - Dedetização, Desinsetização e Desratização;2280,00;2280,00
Indústria e Comércio de Café Ouro Brasileiro Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;1650,00;1650,00
Integrado Distribuidor Frigorifico Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7974,00;5162,80
Integrado Distribuidor Frigorifico Ltda. - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;238811,00;106952,60
Itaires & Yuhara Comércio de Produtos de Limpeza Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;193,50;193,50
Itaires & Yuhara Comércio de Produtos de Limpeza Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903015 - Artigos de Higiene Pessoal;64,00;64,00
Itaires & Yuhara Comércio de Produtos de Limpeza Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903016 - Material de Acondicionamento e Embalagem;432,00;432,00
Itaires & Yuhara Comércio de Produtos de Limpeza Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903031 - Material Médico, Hospitalar e Odontológico;304,50;304,50
Itaires & Yuhara Comércio de Produtos de Limpeza Ltda-epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;162,00;162,00
Ivan dos Santos;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;20000,00;20000,00
Ivo Lopes Pereira - Manutenção de Máquinas -me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;7000,00;7000,00
J G Zana Alimentos Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;713362,50;709485,73
J G Zana Alimentos Ltda Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;313575,00;0,00
J. Bill Com. de Materiais Eletricos e Hidráulicos Ltda-me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903054 - Material para Instalação Elétrica e Eletrônica;4866,00;4866,00
J. R. Pinto & Valim Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903052 - Material para Conservação e Manutenção de Imóveis;544,00;544,00
J. V. Amorim Quimica - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903945 - Outros Seguros;16257,23;14505,48
J.a. Dutra Pereira - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;480,00;480,00
Jacyr Ettori Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;437680,39;423905,65
Jacyr Ettori Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;771,20;697,20
Jaguara Alimentos Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;348690,00;348690,00
Jbs S.a;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;83700,00;83606,40
JBS S/A;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;412855,50;288030,57
José Carlos Aleixo Alegria - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2280,00;2280,00
José Carlos Ordonhez;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;2918725,00;1017011,73
José Renato de Moraes Frutas e Legumes - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;29455,90;29455,90
Jules Rimet Comércio de Plásticos e Peças Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;2495,40;2485,42
Kopell Distribuicao e Logistica Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903041 - Material de Escritório, Papelaria e Impressos;13221,48;13221,48
Kopell Distribuição e Logistica Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903040 - Material Educativo e Cultural;2395,50;2395,50
Kopell Distribuição e Logistica Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;319,96;319,96
L. A. Bandeira & Cia Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7969,50;7969,50
Lazarini & Lazarini Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;158035,92;133918,17
Limeira Plásticos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;972,00;0,00
Limpmais Eireli Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;11989,50;6120,00
Lm Assessoria em Segurança do Trabalho Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;1670,00;1670,00
Lm Assessoria em Segurança do Trabalho Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;5650,00;5650,00
Localfrio S/A Armazens Gerais Frigoríficos;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;204518,50;131804,01
Lopes Distribuidora de Utensílios Ltda.- Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;11471,94;11471,94
Lopes Distribuidora de Utensílios Ltda.- Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903016 - Material de Acondicionamento e Embalagem;2395,00;2395,00
Lopes Distribuidora de Utensílios Ltda.- Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;20036,98;20036,98
Los Angeles Artigos de Proteção Ltda. - M E;5304 - Ensino de Graduação nas Universidades Estaduais;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;7764,00;7764,00
Luciano Carlos Mansonari;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903050 - Peças de Reposição e Acessórios;3850,00;3850,00
Luiz Antonio Meira;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;1000,00;648,89
Luiz Carlos Lazarini Produtos-me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;490032,55;214037,95
Luiz Gilberto Cristovam;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;8000,00;5070,53
Lumon Reefers Locação de Containeres Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2700,00;2700,00
M & e Assistência Técnica em Informática Ltda. Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903912 - Serviços, Programas e Aplicativos de Informática;17346,92;17346,92
M F Borges Supermercado Eireli;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;7990,00;7990,00
M G N Manutenção Industrial e Comercial Ltda - Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;4900,00;4900,00
M. Formigoni Comercial Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;1900,00;1900,00
M. M. Sá Comércio e Representações Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;1785,00;1785,00
M.s de Araujo Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903015 - Artigos de Higiene Pessoal;4368,00;4368,00
Marcelo dos Santos Barbosa;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;625572,34;494471,74
Marcelo Lunardi do Carmo;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;15000,00;7904,61
Maria Aparecida Loureiro de Oliveira;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;17000,00;16772,05
Maria Aparecida Loureiro de Oliveira;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;7000,00;6688,51
Marina Helena Aragon Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;330345,48;250805,14
Mario Sergio Peira Ruffino & Cia. Ltda E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;5650,00;5650,00
Mario Teixeira Agostinho;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;11000,00;5648,38
Marka - Serviços e Comércio Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;12012,00;0,00
Marka - Serviços e Comércio Ltda Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;27997,20;27997,20
Matriz Alimentos Eireli Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;214563,37;163583,20
Maxclean Com de Prods e Servs Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;7530,31;7311,93
Maxclean Com de Prods e Servs Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;1391,00;1391,00
Mercantil Paulista 250 Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;97296,70;93509,68
Modolocampi Agrícola Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;444936,44;212881,97
Móveis D ' Milar Indústria e Comércio Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;44905232 - Mobiliário em Geral;6410,00;6406,29
Mpo Comércio e Serviço Eireli - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903015 - Artigos de Higiene Pessoal;5471,00;5471,00
Muccio & Muccio Ltda Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;3120,00;3120,00
Mult Beef Comercial Ltda - E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;413790,00;294660,88
Multiagua Comercial Ltda. - EPP;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;3540,00;3540,00
Neo Luzz Brasil Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;15731,20;15731,20
Nibor Comercial Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;7732,80;7732,80
Nori Distribuidora de Produtos Alimentícios Eireli-epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;278822,47;238256,29
Nutri & Vegetais Ltda Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;45058,00;40676,15
Nutri - Suco Indústria e Comércio Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;702600,00;487217,50
Nutri - Suco Indústria e Comércio Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33909213 - Gêneros Alimentícios;8109,90;8109,90
Nutricionale Comércio de Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;567713,80;382232,36
Nutrise Comercial Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;1571615,00;1248462,20
Nutrise Comercial Ltda Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;2994,00;2195,60
O. L. Dalmonte - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;2667,00;2664,34
Oki Brasil Indústria e Comércio de Produtos e Tecnologia em Automação S.a.;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903061 - Peças, Acessórios e Componentes de Informática;199,52;199,52
Omytto Uniformes Indústria e Comércio Ltda - E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;33903063 - Fardamento, Vestuário, Uniforme, Tecido e Aviament;313,00;313,00
Omytto Uniformes Indústria e Comércio Ltda - E. P. P.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;182187,00;182187,00
Orcino Galeti - M E;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;200,00;200,00
Osascon Produtos de Higiêne e Limpeza Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;4464,00;4464,00
Ovidio Leite Ferreira - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;275488,98;130937,91
P. G. Comércio de Plástico e Metais Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;2441,30;2441,30
Padaria e Confeitaria Laoa Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;89050,00;89050,00
Padaria Santa Fé Colonial de Bauru Eireli Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;9300,00;5872,16
Papa Lix Plásticos e Descartáveis Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;59355,20;52101,20
Paula Telles Poeta;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;2000,00;2000,00
Paulo Cesar Utinetti;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;62088,60;46786,85
Paulo Roberto de Mello Monteiro;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903024 - Outros Combustíveis e Lubrificantes;770,00;770,00
Paulo Roberto de Mello Monteiro;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;370,00;370,00
Per-te Comercial Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;1207,30;1207,30
Peratelli & da Roz Ltda - Epp;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;44905234 - Outros Equipamentos e Material Permanente;147,40;147,40
Pilar Cereais Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;231770,00;168538,90
Piracicaba Carnes e Derivados Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;718018,70;639911,22
Plástico Santa Clara Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;11310,00;11310,00
Precisa Portaria, Conservação e Vigilancia Ltda Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903010 - Gêneros Alimentícios;31583,95;24376,00
Pró Análise Quimica e Diagnóstica Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903090 - Outros Materiais de Consumo;4140,00;4140,00
R C M Comércio de Equipamentos Eletro- Eletrônicos Ltda - E. P. P;5304 - Ensino de Graduação nas Universidades Estaduais;44905220 - Equipamentos para Informática;715,00;715,00
R C M Comércio de Equipamentos Eletro- Eletrônicos Ltda - E. P. P;5304 - Ensino de Graduação nas Universidades Estaduais;44905232 - Mobiliário em Geral;955,00;955,00
R C M Comércio de Equipamentos Eletro- Eletrônicos Ltda - E. P. P;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;8439,50;8439,50
