Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
Engefood - Equipamentos e Representações Ltda.;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;8990,80;8990,80
Herograf Indústria Gráfica Ltda Epp;5272 - Apoio Técnico Administrativo;33903983 - Serviços Gráficos;182,00;182,00
Ivo Lopes Pereira - Manutenção de Máquinas -me;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;3920,00;3920,00
Ivo Lopes Pereira - Manutenção de Máquinas -me;5272 - Apoio Técnico Administrativo;33903999 - Outros Serviços de Terceiros;5870,00;5870,00
Jacyr Ettori Me;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;250337,80;221273,22
Jbs S.a;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;6255,00;6211,21
JBS S/A;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;142,00;142,00
José Gonçalves da Silva Sobrinho - Me;5272 - Apoio Técnico Administrativo;33903999 - Outros Serviços de Terceiros;850,00;850,00
Kopell Distribuicao e Logistica Ltda;5272 - Apoio Técnico Administrativo;33903041 - Material de Escritório, Papelaria e Impressos;1915,04;1915,04
Kopell Distribuicao e Logistica Ltda;5272 - Apoio Técnico Administrativo;33903060 - Suprimentos de Informática;1901,50;1901,50
Kopell Distribuicao e Logistica Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;467,80;467,80
Kopell Distribuição e Logistica Ltda;5272 - Apoio Técnico Administrativo;33903040 - Material Educativo e Cultural;177,00;177,00
Kopell Distribuição e Logistica Ltda;5272 - Apoio Técnico Administrativo;33903041 - Material de Escritório, Papelaria e Impressos;6334,20;6334,20
L. A. Bandeira & Cia Ltda;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;7969,50;7969,50
Lazaro José - Epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;6750,00;6750,00
Lopes Distribuidora de Utensílios Ltda.- Epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;15137,00;15137,00
M. Formigoni Comercial Ltda - Epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;1240,00;1240,00
M. Formigoni Comercial Ltda.;5272 - Apoio Técnico Administrativo;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;2031,00;2031,00
M. Formigoni Comercial Ltda.;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;1300,00;1300,00
M.s de Araujo Me;5272 - Apoio Técnico Administrativo;33903015 - Artigos de Higiene Pessoal;4368,00;4368,00
Macacari & Silva Ltda - Epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;679,80;679,80
Marcelo Lunardi do Carmo;5272 - Apoio Técnico Administrativo;33903992 - Despesas Miúdas e de Pronto Pagamento;15000,00;15000,00
Martaze Comércio e Serviços Ltda;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2254,00;2254,00
Master Sbg Produtos Odontológicos Ltda;5272 - Apoio Técnico Administrativo;44905235 - Equipamentos e Mobiliários Médico - Hospitalar e O;7620,00;0,00
Matheria Internacional Trade - Eireli - Epp;5272 - Apoio Técnico Administrativo;33903061 - Peças, Acessórios e Componentes de Informática;7936,00;0,00
Mpo Comércio e Serviço Eireli - Epp;5272 - Apoio Técnico Administrativo;33903015 - Artigos de Higiene Pessoal;4234,00;4234,00
Multiagua Comercial Ltda. - EPP;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;3360,00;3360,00
Neo Luzz Brasil Ltda Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;7984,00;7984,00
Nori Distribuidora de Produtos Alimentícios Eireli - Epp;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;156864,87;144921,12
Nutri & Vegetais Ltda Epp;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;46080,00;27951,00
Nutricionale Comércio de Alimentos Ltda;5272 - Apoio Técnico Administrativo;33903010 - Gêneros Alimentícios;7044,71;3440,42
Omytto Uniformes Indústria e Comércio Ltda - E. P. P.;5272 - Apoio Técnico Administrativo;33903066 - Material de Proteção, Segurança, Socorro e Sobrevi;6400,00;6400,00
Orozimbo de Oliveira Pinto Me;5272 - Apoio Técnico Administrativo;33903013 - Material e Utensílios para Refeitório, Copa e Cozi;546,00;546,00
Osascon Produtos de Higiêne e Limpeza Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;4464,00;4464,00
Papa Lix Plásticos e Descartáveis Ltda.;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;23150,00;23150,00
Paulo Roberto de Mello Monteiro;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;740,00;740,00
Per-te Comercial Ltda - Epp;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;1650,00;1650,00
Pinus Brasil Ind. e Com. de Móveis Eireli;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;320,00;320,00
Prolim Comercio de Higiene e Limpeza Ltda;5272 - Apoio Técnico Administrativo;33903015 - Artigos de Higiene Pessoal;3350,00;3350,00
Puri Water Comercio e Manutencao em Equipamentos Refrigerados Ltda - Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;4300,00;4295,70
Puri Water Comercio e Manutencao em Equipamentos Refrigerados Ltda - Me;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;2450,00;2450,00
Refrigás Comércio de Peças Ltda;5272 - Apoio Técnico Administrativo;33903050 - Peças de Reposição e Acessórios;684,50;684,50
Refrigás Comércio de Peças Ltda;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;21,00;21,00
Refrigeração Santos Pirassununga Ltda - Me;5272 - Apoio Técnico Administrativo;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;5036,50;0,00
Reginaldo Dantas da Silva Gas Me;5272 - Apoio Técnico Administrativo;33903090 - Outros Materiais de Consumo;855,00;855,00
Ricardo Alexandre Ferreira Pereira;5272 - Apoio Técnico Administrativo;33903992 - Despesas Miúdas e de Pronto Pagamento;5000,00;4736,17
Rodrigo Tonelotto - EPP;5272 - Apoio Técnico Administrativo;33903015 - Artigos de Higiene Pessoal;1583,25;1583,25
Roogan'S Ambiental de Sistemas Ltda Me;5272 - Apoio Técnico Administrativo;33903979 - Conservação e Manutenção de Imóveis;7989,00;7989,00
Sales Equip. e Prod. de Hig. Profissional Ltda;5272 - Apoio Técnico Administrativo;33903015 - Artigos de Higiene Pessoal;11762,70;11762,70
