2581592	935.63	57.40	26.09	23.70	
4888196	935.59	56.40	26.01	23.70	
7194800	935.62	56.30	25.92	23.70	
9501412	935.61	56.40	25.84	23.70	
11808012	935.60	56.50	25.75	23.70	
14114704	935.63	56.60	25.68	23.70	
16421472	935.59	56.70	25.62	23.70	
18727204	935.60	56.70	25.54	23.70	
21033948	935.65	56.70	25.51	23.70	
23340612	935.59	56.50	25.45	23.70	
25647284	935.59	56.50	25.39	23.70	
27953928	935.62	56.50	25.32	23.70	
30260596	935.64	56.50	25.29	23.70	
32567256	935.62	56.50	25.23	23.70	
34873932	935.64	56.50	25.17	23.70	
37180604	935.62	56.50	25.13	23.70	
39487308	935.66	56.60	25.09	23.70	
41794060	935.59	56.70	25.02	23.70	
44100832	935.62	56.70	25.00	23.70	
46407580	935.57	56.70	24.94	23.70	
48714352	935.60	56.70	24.90	23.70	
51021108	935.62	56.70	24.86	23.70	
53327736	935.62	56.60	24.83	23.60	
55634492	935.59	56.70	24.79	23.70	
57941204	935.57	56.70	24.75	23.60	
60247908	935.63	56.80	24.73	23.70	
62554620	935.58	56.80	24.69	23.70	
64861344	935.60	56.70	24.68	23.60	
67168012	935.61	56.90	24.65	23.70	
69474680	935.59	56.90	24.62	23.70	
71781408	935.55	56.90	24.60	23.60	
74088116	935.60	56.90	24.57	23.60	
76394816	935.63	56.90	24.55	23.60	
78701424	935.60	57.00	24.52	23.60	
81008032	935.66	57.00	24.50	23.60	
83314752	935.63	56.90	24.48	23.60	
85621464	935.58	56.90	24.45	23.60	
87928172	935.56	56.90	24.41	23.60	
90234792	935.58	57.00	24.38	23.60	
92541412	935.61	57.00	24.37	23.60	
94848032	935.58	57.00	24.34	23.60	
97154640	935.65	57.00	24.33	23.60	
99461252	935.58	57.00	24.29	23.60	
101767952	935.69	57.10	24.28	23.60	
104074700	935.61	57.10	24.26	23.60	
106381376	935.61	57.00	24.23	23.60	
108688032	935.56	57.00	24.21	23.60	
110994688	935.62	57.00	24.20	23.60	
113301360	935.65	57.00	24.18	23.60	
115608028	935.62	57.00	24.15	23.60	
